name,spotify_id,genre,spotify_avatar
Fatal Bazooka,68DWke2VjdDmA75aJX5C57,,https://i.scdn.co/image/ab6761610000e5eb009e7843e0c929a1f2c34c27
Feist,,,
Fergie,3r17AfJCCUqC9Lf0OAc73G,,https://i.scdn.co/image/ab6761610000e5eb1fd1c6d465e03a904d63c9b5
Fergie,,,
Fireboy DML,,,
Fireboy DML,,,
Flavien Berger,5PyU5aVBI66v0pkCIvEJfu,,https://i.scdn.co/image/ab6761610000e5eb26b1433693a8e356b430f1fe
Flavour,,,
Flo Milli,,,
Foreigner,6IRouO5mvvfcyxtPDKMYFN,,https://i.scdn.co/image/ab6761610000e5ebb338d6964565206f741d5ad1
Foxes,7qRll6DYV06u2VuRPAVqug,,https://i.scdn.co/image/ab6761610000e5ebadb663c00fcc431448abfcb4
French Montana,,,
Fugees,,,
Future,,,
GS Boyz,,,
Gabriella Cilmi,,,
Georges Brassens,5UWyW1PcEM8coxeqg3RIHr,,https://i.scdn.co/image/ab6761610000e5ebaa16370f435f9f9a99813417
Gotan Project,44ejFPE33H5aOInxNV2BFP,,https://i.scdn.co/image/ab6761610000e5ebfc6bddb68122d983a934a4b2
Gucci Mane,,,
Gunna,,,
Gunna,,,
Gunna,,,
Gunna,,,
Gwen Stefani,,,
Gwen Stefani,,,
Gwen Stefani,,,
H.E.R,,,
Handel,,,
Helmut Fritz,,,
Hooverphonic,,,
Imogen Heap,,,
Imogen Heap,6Xb4ezwoAQC4516kI89nWz,,https://i.scdn.co/image/ab6761610000e5eb7ed0386d30b59531eddd34ba
Inez,2sGGaKKex7GgNlH1DRXZSa,,https://i.scdn.co/image/ab6761610000e5ebde82d4278b2c3223bb4c63b2
Innoss'B,,,
Innoss'B,,,
Inside Llewyn Davis OST,5qEtLvXzYdv0G7c7rR6irX,,https://i.scdn.co/image/ab67616d0000b27359a6022f671f929b9979011d
Jabberwocky,7AVxhrWi3oA5Setg6vvAoT,,https://i.scdn.co/image/ab6761610000e5eb7ee6b5a8687801d515ae3909
Jain,2HHmvvSQ44ePDH7IKVzgK0,,https://i.scdn.co/image/ab6761610000e5eb887264fafa6634019ce9bd11
Jamelia,3f5W9NEwkc1SAIPFuumcaf,,https://i.scdn.co/image/ab67616d0000b273ac27b4f5d1ad74f433274cd5
James Bay,4EzkuveR9pLvDVFNx6foYD,,https://i.scdn.co/image/ab6761610000e5eb58d57084e75247d33ce25eaf
James Blake,53KwLdlmrlCelAZMaLVZqU,,https://i.scdn.co/image/ab6761610000e5eb93fe5fc8fdb5a98248911a07
James Brown,7GaxyUddsPok8BuhxN6OUW,,https://i.scdn.co/image/ab6761610000e5eb158342aa8bb8a192c778f2a5
Jason Mraz,,,
Jay-Z,,,
Jean Knight,2Tk0pWxTuQgnE5nsUexrLr,,https://i.scdn.co/image/ab67616d0000b2735b221b78b425f3f4b45188d2
Jennifer Lopez,,,
Jennifer Paige,26PDtWYDJ1KD0brukKsJH1,,https://i.scdn.co/image/ab6761610000e5eb6cb06b64535283ceab01d414
Jeremih,3KV3p5EY4AvKxOlhGHORLg,,https://i.scdn.co/image/ab6761610000e5eb8ddeab89a67542470e2631c8
Jewel,6FbDoZnMBTdhhhLuJBOOqP,,https://i.scdn.co/image/ab6761610000e5eb75a955fe415fd460bf1bf0f2
Joan Osborne,,,
Johann Sebastian Bach,,,
John Dahlback,15xvsJMf8phaNa1LYvL9Qv,,https://i.scdn.co/image/ab6761610000e5ebe324c01d3fb6b2b5af61f271
John Lennon,2s4tjL6W3qrblOe0raIzwJ,,https://i.scdn.co/image/ab6761610000e5eb2cfed18861c121d7cfe9ee96
Johnny cash,6kACVPfCOnqzgfEF5ryl0x,,https://i.scdn.co/image/ab6761610000e5eb94a8326675bfcafb20f0a235
Joss Stone,,,
Juanes,0UWZUmn7sybxMCqrw9tGa7,,https://i.scdn.co/image/ab6761610000e5eb330d24db775125dcec2c7b4c
Julie Zenatti,,,
Julien Doré,,,
Justin Timberlake,31TPClRtHm23RisEBtV3X7,,https://i.scdn.co/image/ab6761610000e5eb7a5cfe2597665a3d160e805e
Justin Timberlake,,,
K Camp,,,
Kalash,,,
Kaoma,1LsXqDdYVyONhrjAORENbu,,https://i.scdn.co/image/ab67616d0000b27370a92681f8aff88714cb0296
Kash Doll,,,
Kat DeLuna,,,
Kate Nash,,,
Katie Melua,5uCXJWo3WoXgqv3T1RlAbh,,https://i.scdn.co/image/ab6761610000e5eb66cf8e94a58ca0238ecd0a9b
Katie Noonan,4ch5DvHFpBlRtZAERVcfHr,,https://i.scdn.co/image/ab6761610000e5ebdff17ae1816023449961e44a
Katy Perry,6jJ0s89eD6GaHleKKya26X,,https://i.scdn.co/image/ab6761610000e5eb5e5f676a99a81dba06cc3db6
Ke$ha,6LqNN22kT3074XbTVUrhzX,,https://i.scdn.co/image/ab6761610000e5eb2ac07249400857d8b16dc17a
Keane,53A0W3U0s8diEn9RhXQhVz,,https://i.scdn.co/image/ab6761610000e5eb92f6dba2793814a1c5aa8d35
Kelis,,,
Kelis,0IF46mUS8NXjgHabxk2MCM,,https://i.scdn.co/image/ab6761610000e5ebd1222863c4217cf03dde3613
Kelly Clarkson,,,
King africa,2vAu3qMgOvtukijgajuXhM,,https://i.scdn.co/image/ab6761610000e5ebaabb411dd2d09c0f6f7c5ed4
Koba LaD,,,
Kodak Black,,,
Koffee,,,
Koffi Olomide,,,
Kool & The Gang,,,
Korede Bello,,,
Koxie,54eDBxDgfcmO6jqlKg0XLb,,https://i.scdn.co/image/ab6761610000e5ebae7186179384c1f51aa2c14e
Kylie Minogue,,,
Kyo,15uQG9wIjrfNYm9rHcEFwS,,https://i.scdn.co/image/ab6761610000e5eb9ab4bce8ed6a72ab17b42ffc
Lady GaGa,,,
Lady Gaga,,,
Lady Gaga,,,
Latto,,,
Led Zeppelin,36QJpDe2go2KgaRleHCDTp,,https://i.scdn.co/image/207803ce008388d3427a685254f9de6a8f61dc2e
Leona Lewis,5lKZWd6HiSCLfnDGrq9RAm,,https://i.scdn.co/image/ab6761610000e5ebe9cf3862b8027eb5b9f6b831
Lil Baby,,,
Lil Baby,,,
Lil Baby,,,
Lil Baby,,,
Lil Baby,,,
Lil Jon,,,
Lil Loaded,,,
Lil Uzi Vert,,,
Lil Uzi Vert,,,
Lil Wayne,,,
Lil Yachty,,,
Lil Yachty,,,
Lil Yachty,,,
Lil Yachty,,,
Lil' Kim,,,
Lily Allen,,,
Lisa Stansfield,,,
Lizzo,56oDRnqbIiwx4mymNEv7dS,,https://i.scdn.co/image/ab6761610000e5eb0d66b3670294bf801847dae2
London Grammar,3Bd1cgCjtCI32PYvDC3ynO,,https://i.scdn.co/image/ab6761610000e5eb03fca863ba2e1e379ad19998
Lorie,2ixb8I8BVdLRywPPklssgM,,https://i.scdn.co/image/ab6761610000e5ebabf69eecaf0149dc14db4c28
Los Del Rio,2JXn03fudjyRkQ1Ye9f5rk,,https://i.scdn.co/image/ab6761610000e5eb80db2204010a200f07de58dc
Lud Foe X Z-Money,,,
Ludacris,,,
Ludacris,,,
Ludacris,,,
Lykke Li,6oBm8HB0yfrIc9IHbxs6in,,https://i.scdn.co/image/ab6761610000e5eb0bf8a86c8e3a34bb4934abb7
Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0,,https://i.scdn.co/image/ab6761610000e5eb451eb07ddc6e68d3e474c2bf
M.C. Hammer,,,
M.O.P.,,,
M83,63MQldklfxkjYDoUE4Tppz,,https://i.scdn.co/image/ab6761610000e5ebfdb74f864a7a2cca6014a8a6
MGMT,0SwO7SWeDHJijQ3XNS7xEE,,https://i.scdn.co/image/ab6761610000e5eb9dccdc8f4087cbe2bdedc9d3
MKL,,,
Macy Gray,,,
MadeinTYO,,,
Maes,,,
Mai Lan,2mDibyYe7k76MBMSZDTGo1,,https://i.scdn.co/image/ab67616d0000b273ff63c911808bdaffd5db8d7f
Major Lazer,,,
Mampintsha,,,
Mampintsha,,,
Maravillas de Mali,,,
Maroon 5,04gDigrS5kc9YWfZHwBETP,,https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77
Marvin Gaye,3koiLjNrgRTNbOwViDipeA,,https://i.scdn.co/image/f69e669cd95c6008c6220fd060982ff9516ed636
Massive Attack,6FXMGgJwohJLUSr5nVlf9X,,https://i.scdn.co/image/52c2a824e84f4e8adf0b12418f9f8306b4b5b77a
