id,name,spotify_id,genre,spotify_avatar
125,Duffy,37NqXwtb6nIEqRt4EJSoIO,,https://i.scdn.co/image/ab6772690000dd2250e750d1aed632c37a450ffb
126,Duma Ntando,3Capes475wUe21Gzvk5gvA,,
127,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,,https://i.scdn.co/image/ab6761610000e5eb9722e16a886767adf1178f92
128,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,,https://i.scdn.co/image/ab6761610000e5eb784daff754ecfe0464ddbeb9
129,Edward Maya,6XwwFnewNgWp81MYMK8zLq,,https://i.scdn.co/image/ab6761610000e5eb877f1dbdef641d7e31c90d4c
130,Elephant Man,6NOvBZrkd83MSD51xkq4on,,https://i.scdn.co/image/11b5d170e9899db7033a38fcacfcf3a746d06d76
131,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,,https://i.scdn.co/image/ab6761610000e5ebc3cd7dc428871e8985d62b9a
132,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,,https://i.scdn.co/image/ab6761610000e5eb9a93e273380982dff84c0d7c
133,Emilie Simon,6kLw7VpGwN4N0sBdmKhhfd,,https://i.scdn.co/image/ab6761610000e5eb2940ee9508c7ae72b8dd873b
134,Eminem,7dGJo4pcD2V6oG8kP0tJRR,Rap music,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b
135,En Vogue,5fikk4h5qbEebqK2Fc6e48,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eb6bb7f8ea26ac28c8d18efd8e
136,Ephemera,64xAHfAOo1FcDxFDrnBgmr,,https://i.scdn.co/image/ab6761610000e5ebcade8fbbec364a37e1a4998e
137,Eurythmics,0NKDgy9j66h3DLnN8qu1bB,Electro house,https://i.scdn.co/image/ab6761610000e5eb145a01fb993c3088fe6ac5e7
138,Evanescence,5nGIFgo0shDenQYSE0Sn7c,,https://i.scdn.co/image/ab6761610000e5eb7ecf213c7dd78e0049379c5b
139,Eve,58oPVy7oihAEXE0Ott6JOf,,https://i.scdn.co/image/ab6761610000e5ebcf1059806aef122d3b7cf0f0
140,Fally Ipupa,6IflU2YrY5Cyw7YoBICosV,,https://i.scdn.co/image/ab6761610000e5ebaef56a6cfdcc53e6e8865579
141,Fat Joe,3ScY9CQxNLQei8Umvpx5g6,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eba1fe5b14818dd48f0efbf919
142,Fat Man Scoop,15GGbJKqC6w0VYyAJtjej6,,https://i.scdn.co/image/ab6761610000e5eb0a79b0e631f15a9ad1a1e779
143,Fatal Bazooka,68DWke2VjdDmA75aJX5C57,,https://i.scdn.co/image/ab6761610000e5eb009e7843e0c929a1f2c34c27
144,Feist,6CWTBjOJK75cTE8Xv8u1kj,"('2 Tone', '2 Tone')",https://i.scdn.co/image/ab6761610000e5ebe062176ee3682ca24d6fddd7
145,Fergie,3r17AfJCCUqC9Lf0OAc73G,,https://i.scdn.co/image/ab6761610000e5eb1fd1c6d465e03a904d63c9b5
146,Fireboy DML,75VKfyoBlkmrJFDqo1o2VY,,https://i.scdn.co/image/ab6761610000e5eb833675081693a864702b2084
147,Flavien Berger,5PyU5aVBI66v0pkCIvEJfu,,https://i.scdn.co/image/ab6761610000e5eb26b1433693a8e356b430f1fe
148,Flavour,0oKNR4ahj1CPnK2kQmbOfo,,https://i.scdn.co/image/ab6761610000e5ebab245685296531fb3df5d48f
430,Flipmode Squad,7JXCJDLGh1k9cg6JbYCpYl,Rhythm and blues,https://i.scdn.co/image/ab67616d0000b27323436e32ad40bb78d3610f8d
149,Flo Milli,08PvCOlef4xdOr20jFSTPd,Rap music,https://i.scdn.co/image/ab6761610000e5eb2dd4342359c7b3aca2bca63c
150,Foreigner,6IRouO5mvvfcyxtPDKMYFN,,https://i.scdn.co/image/ab6761610000e5ebb338d6964565206f741d5ad1
151,Foxes,7qRll6DYV06u2VuRPAVqug,,https://i.scdn.co/image/ab6761610000e5ebadb663c00fcc431448abfcb4
428,Foxy Brown,1wvlC6NwleHt1iRD6d5X2C,Rhythm and blues,https://i.scdn.co/image/ae4905a8c03a0643faf42310aa4962b5374aa206
152,French Montana,6vXTefBL93Dj5IqAWq6OTv,,https://i.scdn.co/image/ab6761610000e5ebadb2f8e09c3e3171956aafe4
153,Fugees,2WKdxPFRD7IqZvlIAvhMgY,Rhythm and blues,https://i.scdn.co/image/52bae8b59a21ec1ee6bc07a1e08382333bea27d6
154,Future,1RyvyyTE3xzB2ZywiAwp0i,Rap music,https://i.scdn.co/image/ab6761610000e5eb7565b356bc9d9394eefa2ccb
155,GS Boyz,7Ej52CNJlhlwWROkrcjKLL,Rap music,https://i.scdn.co/image/ab6761610000e5ebecd1cf094ae8d075cd1b34a2
156,Gabriella Cilmi,5v2GEv1pQaCp6oeOQROdKE,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eb317b44f735751dade05cdae7
157,Georges Brassens,5UWyW1PcEM8coxeqg3RIHr,,https://i.scdn.co/image/ab6761610000e5ebaa16370f435f9f9a99813417
158,Gotan Project,44ejFPE33H5aOInxNV2BFP,,https://i.scdn.co/image/ab6761610000e5ebfc6bddb68122d983a934a4b2
159,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,,https://i.scdn.co/image/ab6761610000e5ebb9b77f64bd278ffde2c94428
160,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,Rap music,https://i.scdn.co/image/ab6761610000e5ebb978b95b8e03351df8e103af
161,Gwen Stefani,4yiQZ8tQPux8cPriYMWUFP,,https://i.scdn.co/image/ab6761610000e5eb64b94bebbaee56f793e24853
162,H.E.R,3Y7RZ31TRPVadSFVy1o8os,,https://i.scdn.co/image/ab6761610000e5eb417db49cde3ed1c5a65e3514
163,Handel,1QL7yTHrdahRMpvNtn6rI2,,https://i.scdn.co/image/80e4fa2aac467af1b0a13201b585ae0ca27367dc
164,Helmut Fritz,5xsFbfm9lL1iTOvX3hXpoK,,https://i.scdn.co/image/ab6761610000e5eb56f2a9ca29e6f7293339bae9
