name,birthname,date_of_birth,founding_year,spotify_id,genre,spotify_avatar,wikipedia_page,is_group
Les Déesses,Les Déesses,,2007,4zXAitgkrWokZ0zolMyJh9,Zouk,https://i.scdn.co/image/ab67616d0000b273f14b187f00167889b88d4317,https://fr.wikipedia.org/wiki/Les_D%C3%A9esses_(groupe_de_musique),1
London Grammar,London Grammar,,2009,3Bd1cgCjtCI32PYvDC3ynO,Indie pop,https://i.scdn.co/image/ab6761610000e5eb03fca863ba2e1e379ad19998,https://fr.wikipedia.org/wiki/London_Grammar,1
Los Del Rio,Los Del Rio,,1962,2JXn03fudjyRkQ1Ye9f5rk,Traditional pop music,https://i.scdn.co/image/ab6761610000e5eb80db2204010a200f07de58dc,https://fr.wikipedia.org/wiki/Los_Del_R%C3%ADo,1
Lynyrd Skynyrd,Lynyrd Skynyrd,,1964,4MVyzYMgTwdP7Z49wAZHx0,Country rock,https://i.scdn.co/image/ab6761610000e5eb451eb07ddc6e68d3e474c2bf,https://fr.wikipedia.org/wiki/Lynyrd_Skynyrd,1
M.O.P.,M.O.P.,,1992,1BH45DVSTeGBvcYXNCd67g,Rap music,https://i.scdn.co/image/ab6761610000e5eb5cc50382a0668ae107a972d2,https://fr.wikipedia.org/wiki/M.O.P.,1
M83,M83,,2001,63MQldklfxkjYDoUE4Tppz,nan,https://i.scdn.co/image/ab6761610000e5ebfdb74f864a7a2cca6014a8a6,https://fr.wikipedia.org/wiki/M83_(groupe),1
MGMT,MGMT,,2002,0SwO7SWeDHJijQ3XNS7xEE,nan,https://i.scdn.co/image/ab6761610000e5eb9dccdc8f4087cbe2bdedc9d3,https://fr.wikipedia.org/wiki/MGMT,1
Madcon,Madcon,,,6c4sUNBgdonFJz8Kx2VsGz,Pop rock,https://i.scdn.co/image/ab6761610000e5ebf8805c34d9906f9c681d8c16,https://fr.wikipedia.org/wiki/Madcon,1
Major Lazer,Major Lazer,,2008,738wLrAtLtCtFOLvQBXOXp,nan,https://i.scdn.co/image/ab6761610000e5eb133f44ab343b35c715a4ac97,https://fr.wikipedia.org/wiki/Major_Lazer,1
Maroon 5,Maroon 5,,1994,04gDigrS5kc9YWfZHwBETP,Pop punk,https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77,https://fr.wikipedia.org/wiki/Maroon_5,1
Massive Attack,Massive Attack,,1988,6FXMGgJwohJLUSr5nVlf9X,nan,https://i.scdn.co/image/52c2a824e84f4e8adf0b12418f9f8306b4b5b77a,https://fr.wikipedia.org/wiki/Massive_Attack,1
