id,artist,name,genre,artist_name,featured_artists,youtube_id,year,difficulty
165,136,Air,Indie pop,Ephemera,,YCN3IboMJic,0,5
166,137,Sweet Dreams,Electro house,Eurythmics,,p9j8RGTqju0,0,4
167,138,My Immortal,Gothic rock,Evanescence,,5anLPw0Efmo,0,1
168,141,What's Luv,Rhythm and blues,Fat Joe,,VpvyG2NrS1Y,0,1
169,143,Parle à ma main,French pop,Fatal Bazooka,Yelle,shi6I6mkJAk,0,1
170,144,1234,New wave,Feist,,ABYnqp-bxvg,2007,4
175,145,Glamorous,Pop rock,Fergie,Ludacris,q0SyUgw98tE,0,1
174,145,Big Girls Don't Cry,Pop rock,Fergie,,SvAQAeLa-jY,0,1
173,145,Fergalicious,Pop rock,Fergie,,5T0utQ-XWGY,2006,1
172,145,Clumsy,Pop rock,Fergie,,tf_gPZSDIxI,2006,1
171,145,London Bridge,Pop rock,Fergie,,WD33ii01kXI,2006,1
177,146,Peru,Afrobeat,Fireboy DML,Ed Sheeran,pekzpzNCNDQ,0,1
176,146,Bandana,Afrobeat,Fireboy,Asake,gCLUIzOsgGg,0,1
178,147,Gravité,French pop,Flavien Berger,,uhy7QoOYuNo,0,5
179,148,Time to Party,Afrobeat,Flavour,Diamond Platnumz,BFUxr_dkqxw,0,1
180,149,In The Party,Rap music,Flo Milli,,cqM0PAJaAxA,0,3
181,150,I Want to know what love is,Pop rock,Foreigner,,loWXMtjUZWM,0,4
182,151,Home,Electropop,Foxes,,tQ-pVU6SEkI,0,1
501,428,Big Bad Mama,Rhythm and blues,,,5hJ1E7JFw64,1997,3
183,153,Killing Me Softly With His Song,Rhythm and blues,Fugees,,oKOtzIo-uYw,1996,2
184,154,Patek Water,Rap music,Future,"Young Thug,Offset",tT5TDmiAY78,0,1
185,155,Stanky Legg,Rap music,GS Boyz,,ewufRwrayTI,0,1
186,156,Sweet About Me,British blues,Gabriella Cilmi,,qvuyYj5ROmk,0,4
187,157,La guerre de 14-18,French pop,Georges Brassens,,l2F5qaHzkj0,0,2
188,158,Época,Europop,Gotan Project,,Jc7Lt5FLRiA,0,1
190,160,Sold Out Dates,Rap music,Gunna,Lil Baby,wp6oQlb--Ks,0,1
189,160,Idk Why,Rap music,Gunna,,nqxXeJen7S4,0,1
194,161,Rich Girl,Electropop,Gwen Stefani,Eve,9rlNpWYQunY,2004,1
193,161,The Sweet Escape,Electropop,Gwen Stefani,Akon,O0lf_fE3HwA,2006,1
192,161,Hollaback Girl,Electropop,Gwen Stefani,,Kgjkth6BRRY,2004,1
191,161,4 In The Morning,Electropop,Gwen Stefani,,_OLUSELxFok,2006,3
196,163,"Music for the Royal Fireworks, HWV 351: IV. La Réjouissance",Symphony,Handel,,J_e9BUGVc08,0,4
195,163,Arrival of the Queen of Sheba,Symphony,Handel,,KDCcqczz-vY,0,5
197,164,Ca m'énerve,Techno,Helmut Fritz,,4mNDYWhRSaw,0,1
198,165,Mad About You,Indie pop,Hooverphonic,,xVKGXgHDMvQ,2000,4
199,166,Hide And Seek,Indie pop,Imogen Heap,,UYIAfiVGluk,0,5
200,167,Menak wla meni,Arab pop,Inez,,ofgYA_H1dZU,0,1
202,168,Yope,Afrobeat,Innoss'B,Diamond Platnumz,ebZ7Ng1okCg,0,3
201,168,Olandi,Afrobeat,Innoss'B,,QLu6yW56ALg,0,5
203,169,Five Hundred Miles,American folk revival,Inside Llewyn Davis OST,,T9yPd5nQJNc,0,5
204,170,Photomaton,Electroacoustic,Jabberwocky,,BJWoFagy4Bc,0,5
205,171,Makeba,Indie pop,Jain,,59Q_lhgGANc,0,3
206,172,Superstar,Rhythm and blues,Jamelia,,-P2yQ5QJApo,0,1
207,173,Hold Back The River,Folk pop,James Bay,,mqiH0ZSkM9I,0,4
208,174,Life Round Here,Electropop,James Blake,,SlOmdyH_7Os,0,5
209,175,Sex Machine,Soul,James Brown,,JOD-M7WZkZQ,0,1
518,437,Together Again,Rhythm and blues,,,7SXKHiPQPhk,1997,1
517,437,Runaway,Rhythm and blues,,,AtoyLKHmy1c,1995,1
516,437,Doesn't Really Matter,Rhythm and blues,,,ZGo4WebNIjM,2000,2
515,437,All For You,Rhythm and blues,,,J551f-TyqjY,2001,1
211,176,Lucky,Folk pop,Jason Mraz,Colbie Caillat,acvIVA9-FMQ,2009,2
