artist,name,genre,featured_artists,youtube_id,year,difficulty
DARKSIDE,Paper Trails,Electroacoustic,nan,PAAUqBghiVo,2013,5
DMX,X Gon' Give It To Ya,Rap music,nan,fGx6K90TmCI,2003,1
DaBaby,Baby Day,Rap music,Lil Baby,_2P9-ss8AOA,2019,1
DaBaby,BOP on Broadway,Rap music,nan,28hYUZMufDg,2019,1
DaBaby,Suge,Rap music,nan,KvuQNNVrbtM,2019,1
Dae Dae,"Wat U Mean (Aye, Aye, Aye)",Rap music,nan,yC27zqpO_KI,2016,3
Daft Punk,One More Time,Disco,nan,FGBhQbmPwH8,2000,1
Damso,Θ. Macarena,Rap music,,GGhKPm18E48,2012,1
Damso,Γ. Mosaïque Solitaire,Rap music,nan,q2c7Ie1Sz1Q,2018,1
David Banner,Play,Rhythm and blues,nan,qld7WvHa5kc,2005,2
Davido,Fall,Afrobeat,,3Iyuym-Gci0,2019,1
Depeche Mode,Personal Jesus,Alternative rock,nan,u1xrNaTO1bI,1989,5
Des'ree,You Gotta Be,Rhythm and blues,nan,pO40TcKa_5U,1994,2
Des'ree,Life,Rhythm and blues,nan,BKtrWU4zaaI,1998,2
Desiigner,Tiimmy Turner,Rap music,nan,ProbPpO_8oo,2016,1
Desiigner,Panda,Rap music,nan,E5ONTXHS2mM,2015,1
Destiny's Child,"Bills, Bills, Bills",Rhythm and blues,nan,NiF6-0UTqtc,1999,1
Destiny's Child,"Independent Women, Pt. 1",Rhythm and blues,nan,0lPQZni7I18,1999,1
Destiny's Child,Bug-A-Boo,Rhythm and blues,nan,9i-y0G8nNA8,1999,1
Diamond Platnumz,Inama,Afrobeat,Fally Ipupa,x96N7f62GE4,2014,1
Diamond Platnumz,Waah!,Afrobeat,Koffi Olomide,HCuTwNgY3_M,2020,2
Diana Ross,Upside Down,Blues rock,,F1ehMxQdCtQ,1980,3
Dido,Here with me,Pop rock,,j-fWDrZSiZs,1999,1
Dido,White Flag,Pop rock,nan,j-fWDrZSiZs,2003,2
Dido,Thank You,Pop rock,nan,1TO48Cnl66w,1998,1
Dionne Warwick,That's What Friends Are For,Rhythm and blues,nan,HyTpu6BmE88,1985,5
Disclosure,You and Me,Electro music,nan,tkAKj-L8ono,2012,3
Discobitch,C'est Beau La Bourgeoisie,Electro music,nan,QKVQ2r-_zQk,2008,1
Dladla Mshunqisi,Pakisha,Afrobeat,"Distruction Boyz,DJ Tira",ap2YvNDn6xM,2017,1
Doja Cat,Say So,Bitpop,nan,pok8H_KF1FA,2019,1
Doris Day,Que Sera Sera,Indie rock,nan,0WNHNfBUFB0,1956,5
Dr. Dre,Still D.R.E.,Rap music,nan,_CL6n0FJZpk,1999,1
Drake,Yes Indeed,Rap music,Lil Baby,AbEHRrq7xwU,2018,1
Drake,God's Plan,Rap music,nan,PEGccV-NOm8,2018,1
Duffy,Mercy,Pop soul,nan,eJCrb1oNbH4,2008,2
"Earth, Wind & Fire",Boogie Wonderland,Funk,nan,god7hAPv8f0,1979,1
Ed Sheeran,Shape of You,Synthpop,,JGwWNGJdvx8,2017,1
Edward Maya,Stereo Love,Dance-pop,Vika Jigulina,ekIMGAmgXSI,2009,3
Elizeth Cardoso,Manhã De Carnaval!,Bossa nova,,nVkDfnGobmI,1920,5
Ellie Goulding,Fly,Indie pop,nan,Zmcj1MzwIXI,2010,4
Elvis Crespo,Suavemente,Merengue,,WPiEbYSF9kE,2015,1
Elvis Presley,Can't Help Falling In Love,Rock and roll,nan,gSOZoaMaOzs,1961,1
Emilie Simon,To The Dancers on the Ice,French pop,nan,7EKuymIYCtE,2006,4
Emilie Simon,Chanson De Toile,French pop,nan,wr9i3LX-nas,2003,3
Emilie Simon,The Frozen World,French pop,nan,UuNK08h2N7A,2006,5
Emilie Simon,Désert,French pop,nan,V0nnqvZitM0,2006,4
Eminem,Bad Meets Evil - The Reunion,Rap music,nan,jfpIOnJXp6E,1999,1
En Vogue,My Lovin' (You're Never Gonna Get It),Rhythm and blues,nan,JIuYQ_4TcXg,1992,5
Ephemera,Air,Indie pop,nan,YCN3IboMJic,2000,5
Etta James,I'd Rather Go Blind,Soul blues,,Bcus42ihkTI,1968,3
Eurythmics,Sweet Dreams,Electro house,nan,p9j8RGTqju0,1983,4
Evanescence,My Immortal,Gothic rock,nan,5anLPw0Efmo,2003,1
Eve,Let Me Blow Ya Mind,Hip hop soul,Gwen Stefani,Wt88GMJmVk0,2000,1
Ezechiel Pailhès,Éternel été,Electropop,,BQInfMVPK9w,2017,5
Fanny J,Ancrée à ton port,Zouk,nan,kHX4vr4k7H8,2007,1
Fat Joe,What's Luv,Rhythm and blues,nan,VpvyG2NrS1Y,2002,1
Fatal Bazooka,Parle à ma main,French pop,Yelle,shi6I6mkJAk,2006,1
Feist,1234,New wave,nan,ABYnqp-bxvg,2007,4
Fergie,London Bridge,Pop rock,nan,WD33ii01kXI,2006,1
Fergie,Clumsy,Pop rock,nan,tf_gPZSDIxI,2006,1
Fergie,Fergalicious,Pop rock,nan,5T0utQ-XWGY,2006,1
Fergie,Big Girls Don't Cry,Pop rock,nan,SvAQAeLa-jY,2006,1
Fergie,Glamorous,Pop rock,Ludacris,q0SyUgw98tE,2006,1
Fifth Harmony,Work from Home,Traditional pop music,nan,5GL9JoH4Sws,2016,1
Fifth Harmony,Worth It,Traditional pop music,nan,YBHQbu5rbdQ,2015,1
Fireboy DML,Bandana,Afrobeat,Asake,gCLUIzOsgGg,2019,1
Fireboy DML,Peru,Afrobeat,Ed Sheeran,pekzpzNCNDQ,2021,1
Flavien Berger,Gravité,French pop,nan,uhy7QoOYuNo,2015,5
Flavour,Time to Party,Afrobeat,Diamond Platnumz,BFUxr_dkqxw,2010,1
Flo Milli,In The Party,Rap music,nan,cqM0PAJaAxA,2020,3
Foreigner,I Want to know what love is,Pop rock,nan,loWXMtjUZWM,1984,4
Foxes,Home,Electropop,nan,tQ-pVU6SEkI,2013,1
