name,birthname,date_of_birth,spotify_id,genre,spotify_avatar,wikipedia_page
Gucci Mane,Radric Delantic Davis,1980-02-12,13y7CgLHjMVRMDqxdx0Xdo,,https://i.scdn.co/image/ab6761610000e5ebb9b77f64bd278ffde2c94428,
H.E.R,,,3Y7RZ31TRPVadSFVy1o8os,,https://i.scdn.co/image/ab6761610000e5eb417db49cde3ed1c5a65e3514,
Handel,,,1QL7yTHrdahRMpvNtn6rI2,,https://i.scdn.co/image/80e4fa2aac467af1b0a13201b585ae0ca27367dc,
Helmut Fritz,Éric Greff,1975-07-19,5xsFbfm9lL1iTOvX3hXpoK,,https://i.scdn.co/image/ab6761610000e5eb56f2a9ca29e6f7293339bae9,
Hooverphonic,,,5EP020iZcwBqHRnJftibXX,,https://i.scdn.co/image/ab6761610000e5eb1f66a237db39260155162f93,
Imogen Heap,Imogen Jennifer Jane Heap,1977-12-09,6Xb4ezwoAQC4516kI89nWz,,https://i.scdn.co/image/ab6761610000e5eb7ed0386d30b59531eddd34ba,
Inez,,,2sGGaKKex7GgNlH1DRXZSa,,https://i.scdn.co/image/ab6761610000e5ebde82d4278b2c3223bb4c63b2,
Innoss'B,Innocent Didace Balume,1997-05-05,1nLQWXXs7ZauI4SC6rUFPV,,https://i.scdn.co/image/ab6761610000e5ebf6649911e14b5c431098f744,
Inside Llewyn Davis OST,,,5qEtLvXzYdv0G7c7rR6irX,,https://i.scdn.co/image/ab67616d0000b27359a6022f671f929b9979011d,
Jabberwocky,,,7AVxhrWi3oA5Setg6vvAoT,,https://i.scdn.co/image/ab6761610000e5eb7ee6b5a8687801d515ae3909,
Jain,,,2HHmvvSQ44ePDH7IKVzgK0,,https://i.scdn.co/image/ab6761610000e5eb887264fafa6634019ce9bd11,
James Bay,,1990-09-04,4EzkuveR9pLvDVFNx6foYD,,https://i.scdn.co/image/ab6761610000e5eb58d57084e75247d33ce25eaf,
James Blake,,,53KwLdlmrlCelAZMaLVZqU,,https://i.scdn.co/image/ab6761610000e5eb93fe5fc8fdb5a98248911a07,
James Brown,James Joseph Brown,1933-05-03,7GaxyUddsPok8BuhxN6OUW,,https://i.scdn.co/image/ab6761610000e5eb158342aa8bb8a192c778f2a5,
Jason Mraz,Jason Thomas Mraz,1977-06-23,4phGZZrJZRo4ElhRtViYdl,,https://i.scdn.co/image/ab6761610000e5ebc3b370fc26c83312db52af14,
Jay-Z,Shawn Corey Carter,1969-01-04,3nFkdlSjzX9mRTtwJOzDYB,,https://i.scdn.co/image/ab6761610000e5ebc75afcd5a9027f60eaebb5e4,https://fr.wikipedia.org/wiki/Jay-Z
Jean Knight,Jean Caliste,1943-01-26,2Tk0pWxTuQgnE5nsUexrLr,,https://i.scdn.co/image/ab67616d0000b2735b221b78b425f3f4b45188d2,
